epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5282,3.55701,5.733,4.29045,0,0,0,0,3.46348,5.7447,4.15972,8.33e-06,8.33e-06,8.33e-06
2,37.7033,3.53513,5.73153,4.27421,0,0,0,0,3.46334,5.74488,4.16047,1.76733e-05,1.76733e-05,1.76733e-05
3,52.6778,3.53884,5.72071,4.25854,0,0,0,0,3.46314,5.74583,4.16109,2.68281e-05,2.68281e-05,2.68281e-05
4,68.6971,3.52221,5.73825,4.28812,0,0,0,0,3.46289,5.74739,4.16173,3.57944e-05,3.57944e-05,3.57944e-05
5,84.0039,3.63147,5.72668,4.24126,0,0,0,0,3.46298,5.74917,4.16229,4.45722e-05,4.45722e-05,4.45722e-05
6,98.8315,3.53423,5.7,4.26035,0,0,0,0,3.46277,5.752,4.16273,5.31615e-05,5.31615e-05,5.31615e-05
7,115.403,3.53079,5.68524,4.25452,0,0,0,0,3.46184,5.75439,4.163,6.15623e-05,6.15623e-05,6.15623e-05
8,131.408,3.60525,5.70155,4.22492,0,0,0,0,3.46189,5.75771,4.16315,6.97746e-05,6.97746e-05,6.97746e-05
9,146.387,3.50646,5.66778,4.22903,0,0,0,0,3.46148,5.7626,4.16307,7.77984e-05,7.77984e-05,7.77984e-05
10,161.381,3.61309,5.66191,4.21887,0,0,0,0,3.46067,5.76621,4.16297,8.56337e-05,8.56337e-05,8.56337e-05
11,182.139,3.57622,5.66277,4.20165,0,0,0,0,3.46034,5.77369,4.1626,9.32805e-05,9.32805e-05,9.32805e-05
12,208.875,3.55846,5.64558,4.20126,0,0,0,0,3.45937,5.78025,4.16218,0.000100739,0.000100739,0.000100739
13,231.514,3.55761,5.65529,4.193,0,0,0,0,3.45929,5.78558,4.16153,0.000104863,0.000104863,0.000104863
14,253.471,3.4568,5.61043,4.19204,0,0,0,0,3.45943,5.79079,4.16086,0.000103685,0.000103685,0.000103685
15,272.141,3.62788,5.64367,4.17649,0,0,0,0,3.459,5.79551,4.16005,0.000102507,0.000102507,0.000102507
16,302.148,3.51415,5.62699,4.17035,0,0,0,0,3.45792,5.79828,4.15846,0.000101329,0.000101329,0.000101329
17,323.982,3.55968,5.58533,4.16413,0,0,0,0,3.45653,5.79981,4.15657,0.00010015,0.00010015,0.00010015
18,343.805,3.45932,5.57503,4.15768,0,0,0,0,3.45229,5.79738,4.15399,9.89723e-05,9.89723e-05,9.89723e-05
19,365.042,3.54198,5.59757,4.15583,0,0,0,0,3.44517,5.79121,4.15088,9.77942e-05,9.77942e-05,9.77942e-05
20,388.87,3.52394,5.56215,4.15624,0,0,0,0,3.43818,5.77838,4.14619,9.66161e-05,9.66161e-05,9.66161e-05
21,423.211,3.5089,5.55491,4.15212,0,0,0,0,3.42981,5.75921,4.14104,9.5438e-05,9.5438e-05,9.5438e-05
22,451.558,3.52781,5.53267,4.13629,0,0,0,0,3.41946,5.73491,4.13542,9.42599e-05,9.42599e-05,9.42599e-05
23,485.888,3.54762,5.54195,4.13024,0,0,0,0,3.40792,5.70726,4.12984,9.30818e-05,9.30818e-05,9.30818e-05
24,521.719,3.3968,5.53702,4.13278,0,0,0,0,3.39398,5.67359,4.12329,9.19037e-05,9.19037e-05,9.19037e-05
25,569.712,3.55481,5.5178,4.12811,5e-05,0.00017,3e-05,1e-05,3.38303,5.64123,4.11936,9.07256e-05,9.07256e-05,9.07256e-05
26,644.081,3.48788,5.5123,4.11839,0.00184,0.00201,0.00102,0.00011,3.37293,5.6102,4.11557,8.95475e-05,8.95475e-05,8.95475e-05
